symbol,annual_return,annual_volatility,sharpe,max_drawdown,latest_hurst,latest_position
HDFCBANK,0.06473522720182946,0.11728710778947433,0.5519381321775502,-0.21530757574880843,0.5062876168452572,0.0
NIFTY_INDEX,0.05525109176351517,0.1556055731801712,0.3550714195791787,-0.5059604427560205,0.5200566116951614,0.9952454309600265
MARUTI,0.04673492462662285,0.128262228798424,0.3643701272341924,-0.3979088816916265,0.6491095591161127,0.7054667943907507
BAJFINANCE,0.03829845918845026,0.13153181294838995,0.29117259414251134,-0.3805464099696366,0.5706346840895588,0.5753559721319464
ICICIBANK,0.06308923444312256,0.13042562013546316,0.48371810981306107,-0.293146157455656,0.46255591802239704,0.0
WIPRO,0.04973049241478224,0.12721491777819977,0.39091714465034477,-0.23392491680290917,0.5861744903546353,0.0
INFY,0.004952896677644585,0.11339880113830587,0.043676799295292605,-0.3669074815936063,0.5222727546345595,0.0
SBIN,0.02194017725911352,0.1355176145847578,0.16189908098914557,-0.3936932103769776,0.5454629183252361,0.9546292085938627
TCS,0.026068669144385638,0.11782714790228715,0.22124501533385257,-0.21719348030923202,0.6042319933697322,0.0
ASIANPAINT,0.027571318343704194,0.1273653611966088,0.2164742288222577,-0.4196492011518693,0.6844442555380211,0.8071518093209671
RELIANCE,0.06692085096240107,0.14134866749689803,0.4734452198770793,-0.25611315029662796,0.6622370981233304,0.7261712909415983
